"","Gene","ID","Beta","SE","Pval","LogFC","FoldChange","Pval.FDR"
"1","MACC1","346389","-0.124746591918144","0.0730457422698085","0.0967928185198723","-0.124746591918144","0.917165128284046",0.145737765327595
"2","A1BG","1","0.0524757679335458","0.0589462699874236","0.379598337871469","0.0524757679335458","1.03704303778623",0.47450184376514
"3","A1CF","29974","0.211156904547227","0.115891238803817","0.0772576483244677","0.211156904547227","1.15761611009275",0.118912016021344
"4","RBFOX1","54715","1.25162795542503","0.137374706993095","1.19676687945816e-10","1.25162795542503","2.38109957766449",7.11855366163173e-10
"5","A2M","2","-1.8221003237522","0.357351015149711","1.27849857803124e-05","-1.8221003237522","0.282808948740555",3.45804294797376e-05
"6","A2ML1","144568","0.122062792331613","0.110961968821713","0.279041845773048","0.122062792331613","1.08828980772214",0.367845552958482
"7","A4GALT","53947","-0.350368446630864","0.103353594818112","0.00178440178967236","-0.350368446630864","0.784383750318752",0.00362724573191922
"8","A4GNT","51146","-0.206655256778053","0.0742996195886002","0.0087645862875815","-0.206655256778053","0.866543899078934",0.0161159415661892
"9","NPSR1-AS1","404744","0.0910978460023782","0.108995061664528","0.409104020248221","0.0910978460023782","1.06518044327156",0.504804960697389
"10","AAAS","8086","-0.155462214187851","0.0471833914895631","0.00230785698043781","-0.155462214187851","0.897844673113336",0.00462487575913063
"11","AACS","65985","-0.199367992139958","0.049147995554688","0.00027533522130917","-0.199367992139958","0.870932012815056",0.000624764248053052
"12","AADAC","13","-0.0381618391296921","0.0884999315008417","0.669039260742644","-0.0381618391296921","0.973895012492896",0.744727838361734
"13","NCEH1","57552","-0.730897042454663","0.107101583076062","7.47599626829939e-08","-0.730897042454663","0.602529155294963",2.74331203021871e-07
"14","AADACL2","344752","0.073536375805057","0.0954792376304911","0.44651073008085","0.073536375805057","1.05229293571624",0.541086540477266
"15","AADAT","51166","-0.225110997055969","0.103562544948641","0.0367870565478829","-0.225110997055969","0.855529201046734",0.0604823780654802
