"","Gene","ID","Beta","SE","Pval","LogFC","FoldChange","Pval.FDR"
"1","MACC1","346389","-0.0813491100520397","0.0798239534567347","0.342075194504061","-0.0813491100520397","0.945173371629562",0.447308481890281
"2","A1BG","1","0.0693804787409475","0.0604803639966479","0.289009005148027","0.0693804787409475","1.04926601167048",0.391539395836197
"3","A1CF","29974","0.0438062020434018","0.0450362253595761","0.363112571595819","0.0438062020434018","1.03082983759894",0.468358524871775
"4","RBFOX1","54715","4.39824768957581","0.183513328961873","5.59915864061604e-08","4.39824768957581","21.0864991595833",9.53456728516331e-06
"5","A2LD1","87769","-0.855856139073881","0.216320017480362","0.00548663169036729","-0.855856139073881","0.552537336905524",0.0161369245063182
"6","A2M","2","-0.180130712102337","0.441088807476068","0.695199821799305","-0.180130712102337","0.882623024616529",0.76695346866349
"7","A2ML1","144568","0.0727178549390902","0.0646268303720725","0.297601605732631","0.0727178549390902","1.05169608093512",0.400395647478899
"8","A4GALT","53947","0.111587972339775","0.177911886958044","0.550424097646865","0.111587972339775","1.08041679546216",0.645228810166541
"9","A4GNT","51146","0.1444671585333","0.0825445314336225","0.123561949371096","0.1444671585333","1.1053223408656",0.20087734592186
"10","NPSR1-AS1","404744","0.0875740867531944","0.0885071986489195","0.355400250162504","0.0875740867531944","1.06258193200965",0.460797092278134
"11","AAAS","8086","-1.51736867530337","0.147018184956543","1.73654469199809e-05","-1.51736867530337","0.34932246351117",0.000201783546158247
"12","AACS","65985","0.101247170010056","0.131176108556131","0.465462016159018","0.101247170010056","1.07270038167842",0.568523405813902
"13","AADAC","13","0.0326075530751631","0.108440649684955","0.772381685670608","0.0326075530751631","1.02285919017094",0.829600667469338
"14","NCEH1","57552","1.40443229900361","0.349341621307165","0.00505815400475771","1.40443229900361","2.64713596690294",0.0151083719404683
"15","AADACL2","344752","-0.0265994385871163","0.0755890538103901","0.735272084591484","-0.0265994385871163","0.981731601846428",0.799206705377626
"16","AADAT","51166","0.138273586733601","0.142425821744998","0.363967415372504","0.138273586733601","1.10058730041142",0.469279782719335
"17","AAGAB","79719","-1.01106543048412","0.267209141573359","0.0068581815191722","-1.01106543048412","0.496179683617452",0.0192935490883253
"18","AAK1","22848","1.88172157946561","0.261356556341818","0.000177483086112782","1.88172157946561","3.68514549317284",0.00109494925731982
"19","AAMP","14","-0.254361871250878","0.151120530516725","0.136218502018121","-0.254361871250878","0.838357872729323",0.216723649697626
"20","AANAT","15","-0.0282408994918761","0.100715377140575","0.787274302394385","-0.0282408994918761","0.980615248356117",0.841082805273396
"21","AARS","16","0.0402291633363106","0.0989252506753844","0.696402256731556","0.0402291633363106","1.02827714925802",0.768012216517064
"22","AARS2","57505","-0.292607493011957","0.161999301104418","0.113842031631194","-0.292607493011957","0.816425136734338",0.188005524380145
"23","AASDH","132949","0.700078685302513","0.366296018856618","0.0975797674067249","0.700078685302513","1.62459339642518",0.166951237486797
"24","AASDHPPT","60496","0.390967412302459","0.195338764671068","0.0854321448396431","0.390967412302459","1.3112723947676",0.150009641528195
"25","AASS","10157","-2.62774620793426","0.390286919402877","0.000269199862656634","-2.62774620793426","0.161796666808879",0.00149473270275475
"26","AATF","26574","-0.935985468171327","0.315450396039232","0.0208923232927213","-0.935985468171327","0.522685314926386",0.0476364381894976
"27","ABAT","18","-0.210995153611905","0.208547690277384","0.345350785057055","-0.210995153611905","0.863941089598358",0.450442825381122
"28","ABCA1","19","-0.597170772715941","0.178464141187935","0.0123152136721334","-0.597170772715941","0.661049049149784",0.0310964269572647
"29","ABCA10","10349","0.380359350128111","0.203080528047218","0.10322979925325","0.380359350128111","1.3016660373336",0.174468188164699
"30","ABCA12","26154","0.311198788994768","0.136258742238075","0.0563131383392716","0.311198788994768","1.24073824729941",0.107170545066314
"31","ABCA13","154664","-0.125022361596373","0.057020999376431","0.0644341386032788","-0.125022361596373","0.916989829864507",0.119501767616305
"32","ABCA2","20","1.64096790063267","0.147920391660863","1.07518531441536e-05","1.64096790063267","3.11874997877757",0.000144700022475688
"33","ABCA3","21","2.11165462694095","0.121692093183537","5.19030875509649e-07","2.11165462694095","4.32186685374654",2.20958858431251e-05
"34","ABCA4","24","-0.109772503158482","0.0378808842430969","0.0230570660096038","-0.109772503158482","0.926734185965411",0.0515993452552324
"35","ABCA5","23461","1.94813812341301","0.382022483972621","0.00140022573801374","1.94813812341301","3.85876215797896",0.00542282829333332
"36","ABCA6","23460","0.470541856842305","0.171901706840052","0.0290322321305004","0.470541856842305","1.38562979429469",0.0626279588668292
"37","ABCA7","10347","-0.0370113880101205","0.0612566234999536","0.564769598718587","-0.0370113880101205","0.97467193722284",0.657289564364027
"38","ABCA8","10351","0.146912778242334","0.14387501924989","0.341187340215869","0.146912778242334","1.10719764404215",0.446567398707641
"39","ABCA9","10350","-0.858283853318083","0.227831885581383","0.0070087244591526","-0.858283853318083","0.5516083292314",0.0196409057555564
"40","ABCB1","5243","0.825051056205119","0.187077493166339","0.00311802313365734","0.825051056205119","1.77159773299065",0.0102493271594997
"41","ABCB10","23456","-1.39292049965563","0.268621936615424","0.00127325035660449","-1.39292049965563","0.380793168122575",0.00505183118188676
"42","ABCB11","8647","0.07869754007293","0.0651292820583791","0.266152056992694","0.07869754007293","1.05606419907902",0.367647175489949
"43","ABCB4","5244","-0.128998299394058","0.0488145452403758","0.0332965427233907","-0.128998299394058","0.914466167444746",0.0700520303792163
"44","ABCB5","340273","0.0213429331322448","0.0958948621113295","0.830227971330968","0.0213429331322448","1.01490376371579",0.874508892606905
"45","ABCB6","10058","0.102636299589928","0.224455982684201","0.661332428481067","0.102636299589928","1.07373375145883",0.739770403753931
"46","ABCB7","22","-0.764787770011933","0.134649995268914","0.000750871016217424","-0.764787770011933","0.58853994036169",0.00332022668750301
"47","ABCB8","11194","0.555161664040729","0.0770350048085647","0.000176439104894842","0.555161664040729","1.46933327309404",0.00109012061550727
"48","ABCB9","23457","0.832243263843107","0.135774818024775","0.000476995267821818","0.832243263843107","1.78045165676452",0.00233570922224486
"49","ABCC1","4363","-0.620722488136717","0.164970124452433","0.00705052053675715","-0.620722488136717","0.650345159404607",0.0197381457335016
"50","ABCC10","89845","0.382986575171341","0.212111952621667","0.113948739042631","0.382986575171341","1.3040386006246",0.188138937035714
"51","ABCC11","85320","-0.0100061262924957","0.0495064552483034","0.845573357365684","-0.0100061262924957","0.993088278355801",0.886016005996634
"52","ABCC12","94160","0.155605318088931","0.0441935522474812","0.00971463747143137","0.155605318088931","1.11388887959578",0.025643446713579
