"","Gene","ID","Beta","SE","Pval","LogFC","FoldChange","Pval.FDR"
"1","RFC2","5982","-0.680511861507909","0.171105244653855","0.0164401370659978","-0.680511861507909","0.623943862787144",0.0685111270576419
"2","PAX8","7849","0.0732919397947357","0.101918740474564","0.511837692745517","0.0732919397947357","1.0521146606889",0.693067777086741
"3","GUCA1A","2978","-0.0365457791356305","0.0745079361740339","0.649473145139072","-0.0365457791356305","0.974986549202467",0.797577351870788
"4","UBA7","7318","0.262432591664013","0.135437791283017","0.12471203987863","0.262432591664013","1.19949952943785",0.27253089926724
"5","THRA","7067","-0.0512210792099493","0.252829200255428","0.849341659151978","-0.0512210792099493","0.965119118269706",0.924753830418274
"6","PTPN21","11099","-0.0256705758564695","0.128706338307627","0.851638857186356","-0.0256705758564695","0.982363882051078",0.925725629179223
"7","CCL5","6352","-0.104075323545584","0.0958022473686539","0.338407068854261","-0.104075323545584","0.930401079912368",0.534839976072733
"8","CYP2E1","1571","0.182058999330247","0.183996712730384","0.378446131763024","0.182058999330247","1.13450187969058",0.575275932400236
"9","EPHB3","2049","0.480427654218844","0.0574109077644627","0.00111522553240944","0.480427654218844","1.39515716775552",0.01533966890355
"10","ESRRA","2101","-0.276637166490138","0.0770424636834955","0.0229472835426486","-0.276637166490138","0.82551299646988",0.0853440886539188
"11","SCARB1","949","-0.304924894737196","0.175011688827804","0.156414899608681","-0.304924894737196","0.809484356397567",0.3184228040965
"12","TTLL12","23170","-0.560485154195638","0.0477863523608574","0.000302239998014739","-0.560485154195638","0.678074100408112",0.00889233213436156
"13","LINC00152","112597","-2.85994596935049","0.254222656711715","0.000355663304653161","-2.85994596935049","0.137743298038731",0.0093248329340233
"14","WFDC2","10406","0.0811365917537978","0.131466945043895","0.570525020780725","0.0811365917537978","1.05785111430508",0.741124628126891
"15","MAPK1","5594","-0.00260223697754495","0.117515359596178","0.983393844087671","-0.00260223697754495","0.998197892525018",0.992303299572107
"16","ADAM32","203102","-0.0796425247654567","0.0571728132086921","0.236042009038811","-0.0796425247654567","0.946292092725726",0.420741547184999
"17","SPATA17","128153","0.0805873135434771","0.0697532911226153","0.312274060352188","0.0805873135434771","1.05744843463142",0.50632530727768
"18","PRR22","163154","-0.122300375195283","0.0849929218327307","0.223565194712463","-0.122300375195283","0.918721581854748",0.405141231587754
"19","PXK","54899","0.203540714328145","0.0522879765350173","0.0176503907620995","0.203540714328145","1.15152099432454",0.0718155609084457
"20","VPS18","57617","-0.33726435771055","0.0547366914983803","0.00352148108998246","-0.33726435771055","0.791540811592057",0.0269612283249213
"21","MSANTD3","91283","-0.791210745585566","0.069103089620008","0.000332050149436472","-0.791210745585566","0.577858934802717",0.00910972366497451
"22","TIMD4","91937","0.0340093322104761","0.0207679359631946","0.176849443162026","0.0340093322104761","1.02385352330119",0.34655900197279
"23","SLC39A5","283375","-0.0336186214747929","0.0672558335637294","0.643419045262238","-0.0336186214747929","0.9769667574076",0.793997557158681
"24","ZDHHC11","79844","0.119923089183499","0.0996469009801007","0.295143563764555","0.119923089183499","1.08667692967443",0.488380040390125
"25","AFG3L1P","172","-0.141367206292459","0.291545540340582","0.653112430271325","-0.141367206292459","0.906659529319514",0.799962362021105
"26","CILP2","148113","0.129986060863467","0.0727116551371125","0.148348806270918","0.129986060863467","1.09428312838485",0.30749990722239
"27","PIGX","54965","-0.560485892113228","0.0780450312869812","0.00199123276380984","-0.560485892113228","0.678073753583133",0.0199561957016964
"28","TMEM196","256130","0.00890819955352438","0.0650308209604364","0.897661464384458","0.00890819955352438","1.00619379612128",0.949049512471253
"29","SLC39A13","91252","0.521632258992042","0.107838715220951","0.00841745581796208","0.521632258992042","1.43557853696156",0.0449149175022408
"30","BEST4","266675","-0.0620602974272802","0.0565876717165982","0.334360065113792","-0.0620602974272802","0.957895182164847",0.530881613135172
"31","AKD1","221264","0.497086583524033","0.0607166692177374","0.00121240508139536","0.497086583524033","1.41136054384727",0.0158281573729753
"32","CORO6","84940","-0.443789795082728","0.300246705522459","0.213457473326993","-0.443789795082728","0.735200781310535",0.393260337720679
"33","TTC39C","125488","0.307405298050188","0.0572178251604769","0.00579744594074998","0.307405298050188","1.23748007662319",0.0355739551566927
"34","NEXN","91624","-0.913158004645699","0.141132159279442","0.00293963406275101","-0.913158004645699","0.531021432343503",0.0244895468937768
"35","C15orf40","123207","0.1567474232782","0.147736645839442","0.348507163356762","0.1567474232782","1.11477103550853",0.544663826818865
"36","RAX2","84839","0.0263019037956748","0.0177336087659921","0.212178890709374","0.0263019037956748","1.01839829132815",0.391696559451379
"37","MFAP3","4238","0.641495862754097","0.118732815605985","0.00568140819926559","0.641495862754097","1.5599457556051",0.0350869436816699
"38","EYA3","2140","0.340263214113193","0.0649987285613123","0.00636227072346837","0.340263214113193","1.26598754741791",0.0377992262990212
"39","GIMAP1","170575","0.00928287975038048","0.0705389387594126","0.901654970443374","0.00928287975038048","1.00645514716105",0.951070360284413
"40","KLK8","11202","0.0210216231116942","0.0756557463489784","0.79489117852599","0.0210216231116942","1.01467775445599",0.892616936645232
"41","CCDC65","85478","-0.00504032777776924","0.0383214190441966","0.901708150618304","-0.00504032777776924","0.99651240684207",0.951070360284413
"42","FAM122C","159091","-0.0955651830256292","0.0638724836582209","0.208939216673116","-0.0955651830256292","0.935905529917208",0.387654757379877
"43","CCDC11","220136","-0.00390397990360284","0.112980005306875","0.974090487968167","-0.00390397990360284","0.997297625342937",0.988582385054947
"44","RBBP6","5930","-0.120219539737637","0.118384851527474","0.367298881354942","-0.120219539737637","0.920047633241028",0.56447881664697
"45","TRIOBP","11078","0.790557596660221","0.122468014461664","0.00296506745889814","0.790557596660221","1.72974287309613",0.0246043734781115
"46","CATSPER1","117144","-0.495384586694453","0.141844321126257","0.0250670211123052","-0.495384586694453","0.709372551775356",0.0905786131531257
"47","GSC","145258","-0.0633102011012373","0.0862034147563022","0.503418377946292","-0.0633102011012373","0.957065652581227",0.686145973865417
"48","SP7","121340","0.0323018352177903","0.094577340950004","0.749886048340545","0.0323018352177903","1.02264246163089",0.865545416659712
"49","PDE7A","5150","-0.0126723113135597","0.147778802337471","0.935784420214447","-0.0126723113135597","0.991254687805712",0.968860276182921
"50","CNOT7","29883","0.0422200227811351","0.0869670322903249","0.652733654954573","0.0422200227811351","1.02969710868199",0.79969245778109
"51","CRYZL1","9946","0.460762458232304","0.055265933390297","0.00113116594606552","0.460762458232304","1.37626897831123",0.0154437521330951
"52","PRSS33","260429","0.0456174877394529","0.139412506982447","0.759915262644282","0.0456174877394529","1.03212484441271",0.872334878032453
"53","C19orf26","255057","-0.160400685201664","0.0560745310651986","0.0459067343136985","-0.160400685201664","0.894776526714138",0.136974437683977
"54","MCMDC2","157777","0.0868880219931434","0.053247469914806","0.178062247862442","0.0868880219931434","1.06207674783053",0.34830252522779
"55","TIRAP","114609","0.312165955310455","0.0625930181679338","0.00755846450062393","0.312165955310455","1.24157030295116",0.0420582448983089
"56","LEAP2","116842","0.017116997970328","0.19421906144967","0.934007420802359","0.017116997970328","1.01193526242444",0.968344518424791
"57","MSI2","124540","0.489199373832074","0.060139559280525","0.00124254384868379","0.489199373832074","1.40366569279144",0.016024026089424
"58","SCIN","85477","-0.0406397818648359","0.0507521025392703","0.468138766366765","-0.0406397818648359","0.972223706562188",0.65809468172683
"59","CTCFL","140690","0.0325517641578236","0.0384200569388507","0.444568233259647","0.0325517641578236","1.02281963704164",0.637249533789313
"60","C4orf33","132321","-0.281813101653836","0.0358664835355966","0.00141762531079685","-0.281813101653836","0.822556622426471",0.0169496758867478
"61","ZNF333","84449","0.59262189025354","0.232262649148268","0.0632037203570144","0.59262189025354","1.50798480363119",0.170131024011132
"62","FAM18B2","201158","-0.0345255183760762","0.155168844853928","0.834821930833477","-0.0345255183760762","0.976352816359726",0.916043808072717
"63","RDH10","157506","-2.03666973964749","0.152954280428468","0.000183890683394727","-2.03666973964749","0.243725694787454",0.00760885385062772
"64","SRSF12","135295","-0.00155276768433969","0.0913512407225979","0.987252437289736","-0.00155276768433969","0.998924282456915",0.994284476231398
"65","GAPT","202309","0.0915725399120072","0.146728534970429","0.566393869588868","0.0915725399120072","1.06553098018273",0.738114272076368
"66","C1orf65","164127","-0.0467076951479529","0.0805802345860944","0.593236104587734","-0.0467076951479529","0.968143162784715",0.757693140581652
"67","ENTHD1","150350","0.0630086826758806","0.146946039276366","0.690160681468583","0.0630086826758806","1.0446420498901",0.82486104497904
"68","TSSK3","81629","0.096939086432594","0.175761603715442","0.610626155224063","0.096939086432594","1.06950193034923",0.771574676238065
"69","WFDC6","140870","0.00826567230422311","0.0684347103513566","0.909687859238784","0.00826567230422311","1.00574577143896",0.955544839196064
"70","CLEC12A","160364","-0.00149316903668245","0.0363974511247616","0.96924278302906","-0.00149316903668245","0.998965549505308",0.986915085802568
"71","BRF1","2972","0.174628907498474","0.108226672226597","0.181923409349118","0.174628907498474","1.12867404798344",0.352894596027033
"72","C15orf27","123591","0.0761878178414542","0.0684304914286989","0.327944639171507","0.0761878178414542","1.05422865954486",0.523660229398281
"73","CALML6","163688","0.00319275517211742","0.0204717638500344","0.883619735789876","0.00319275517211742","1.00221549984669",0.942643469990899
"74","NLRP5","126206","-0.0572668513065071","0.124391449422191","0.669161347701235","-0.0572668513065071","0.961083143059561",0.811806412688256
"75","ODF4","146852","-0.0646726876134689","0.0609180965957949","0.348248508706653","-0.0646726876134689","0.956162222920914",0.544453036619907
"76","CLEC4F","165530","-0.082613028343973","0.144779324138674","0.598787723744645","-0.082613028343973","0.944345685431599",0.761945345894732
"77","WFDC9","259240","-0.0177881635235299","0.0382239132441366","0.665875677193686","-0.0177881635235299","0.987745885335395",0.808904226527609
"78","NEDD1","121441","-0.57646546375746","0.0834080584767545","0.00229923950785218","-0.57646546375746","0.670604717054775",0.0215129306907889
"79","TTLL10","254173","0.0705725863983797","0.0563943990223175","0.278975874715327","0.0705725863983797","1.05013338484473",0.471784183989545
"80","CALR3","125972","-0.0199652800201798","0.0423415622212408","0.661832016764794","-0.0199652800201798","0.986256439510577",0.805899923856116
"81","C10orf25","220979","-0.0918501974707697","0.189250224638471","0.652820924537947","-0.0918501974707697","0.93831862194499",0.799724599722212
"82","ETV3","2117","0.242181942407161","0.043851348398284","0.0052491684147814","0.242181942407161","1.1827801546346",0.0335698507066932
"83","KLHL10","317719","0.143780445110884","0.114372149706743","0.277104725993017","0.143780445110884","1.10479633984268",0.469561818332578
"84","TM2D3","80213","0.560850155803535","0.0571735674966645","0.000605397676660273","0.560850155803535","1.47513823524678",0.0116643033274086
"85","ZNF485","220992","0.0061114136943535","0.109609368810807","0.958209830470024","0.0061114136943535","1.00424509416459",0.981416107750663
"86","WDR17","116966","0.218604661306438","0.13702817657798","0.185869721483887","0.218604661306438","1.1636076297536",0.357845291399947
"87","MFSD6L","162387","0.0591032178691969","0.0786137888066372","0.493979174244111","0.0591032178691969","1.04181796339043",0.678901952514095
"88","MEGF11","84465","-0.063310041213226","0.053704748448153","0.303790291906598","-0.063310041213226","0.957065758648918",0.497523540676276
"89","GPR182","11318","-0.180533975333196","0.0639361301454135","0.0476505974712124","-0.180533975333196","0.882376347625028",0.140547190392667
"90","ESX1","80712","-0.0136542776560559","0.0474422656584714","0.787789570973599","-0.0136542776560559","0.990580222638732",0.888860472569229
"91","DNAJC5G","285126","0.0561513647804704","0.0609170200899205","0.408814194679211","0.0561513647804704","1.03968851156602",0.604252581442899
"92","WDR88","126248","0.0233132097791178","0.0582252533751409","0.709327428154469","0.0233132097791178","1.01629075625146",0.838698826668588
"93","PRUNE2","158471","-0.113320683362993","0.0478564358440766","0.0769943877010961","-0.113320683362993","0.924457766090788",0.195156471694933
"94","ADAMTSL1","92949","-0.0471359821114398","0.0771868281173054","0.574411070926156","-0.0471359821114398","0.967855796748892",0.743956257932817
"95","MBD3L1","85509","0.0486044486967236","0.100394294975058","0.653602377357741","0.0486044486967236","1.03426397303676",0.800174163517027
"96","FAM46D","169966","-0.00492256398895999","0.0435916942146667","0.915530982720504","-0.00492256398895999","0.99659375311627",0.958358064564076
"97","SERPINB11","89778","-0.00373178845271056","0.0856820832923997","0.967347481631403","-0.00373178845271056","0.997416663926089",0.986100583052367
"98","LINC00161","118421","-0.0725656961345065","0.0991445775100399","0.504791915856457","-0.0725656961345065","0.950945327398325",0.687275804524875
"99","DSCR10","259234","-0.0346842493552358","0.0471114256861574","0.50244090958595","-0.0346842493552358","0.976245400094435",0.685122018257665
"100","ABHD11","83451","-0.663993196334557","0.154229636274357","0.0125934764328575","-0.663993196334557","0.631128992416459",0.0575484632164134
"101","ACAP2","23527","-0.128705765388654","0.179051922499108","0.512005515578517","-0.128705765388654","0.914651611746315",0.693160515931616
"102","GAMT","2593","-0.277938617922609","0.121299401983296","0.0837330630360472","-0.277938617922609","0.824768639141365",0.206762679636928
"103","PLCD3","113026","-0.17062697724574","0.093031193939301","0.14055985840307","-0.17062697724574","0.888456485162896",0.296467757055166
